date,temp,rain,snow
0820,26.3,0.0,0
0821,27.3,0.0,0
0822,27.3,0.0,0
0823,28.1,0.0,0
0824,27.7,0.0,0
0825,26.2,2.4,0
0826,25.6,0.0,0
0827,25.5,0.0,0
0828,24.1,0.0,0
0829,25.7,0.0,0
0830,24.8,0.9,0
0831,24.2,0.0,0
0901,23.3,0.0,0
0902,21.9,1.7,0
0903,22.0,0.0,0
0904,19.9,4.1,0
0905,21.4,23.4,0
0906,23.1,0.6,0
0907,22.3,14.0,0
0908,24.1,14.5,0
0909,22.2,0.0,0
0910,22.2,0.0,0
0911,23.2,0.0,0
0912,22.8,0.0,0
0913,22.6,0.0,0
0914,22.0,0.0,0
0915,21.5,0.0,0
0916,21.2,0.0,0
0917,21.8,0.0,0
0918,21.8,0.0,0
0919,20.9,0.0,0
0920,20.5,0.0,0
0921,18.6,35.0,0
0922,20.0,0.1,0
0923,20.5,0.0,0
0924,19.9,0.0,0
0925,21.0,0.0,0
0926,21.5,0.0,0
0927,21.0,0.6,0
0928,20.7,0.1,0
0929,19.8,0.0,0
0930,19.8,0.0,0
1001,19.1,0.0,0
1002,17.1,0.0,0
1003,19.1,0.0,0
1004,18.3,0.0,0
1005,19.2,6.1,0
1006,20.0,0.0,0
1007,15.2,0.0,0
1008,15.9,0.0,0
1009,18.1,0.3,0
1010,19.1,0.0,0
1011,18.0,0.0,0
1012,17.3,3.7,0
1013,18.6,0.3,0
1014,17.8,0.0,0
1015,16.6,0.0,0
1016,17.6,0.0,0
1017,18.2,0.3,0
1018,17.7,0.0,0
1019,18.1,0.2,0
1020,18.0,27.1,0
1021,18.8,5.5,0
1022,17.7,0.1,0
1023,16.8,4.4,0
1024,13.9,0.0,0
1025,13.9,0.0,0
1026,16.6,0.0,0
1027,15.0,0.8,0
1028,15.8,0.2,0
1029,17.2,0.0,0
1030,16.4,0.0,0
1031,15.1,0.0,0
1101,16.3,0.0,0
1102,16.1,6.6,0
1103,13.6,0.0,0
1104,12.4,0.0,0
1105,14.1,0.0,0
1106,15.5,0.0,0
1107,13.2,15,1
1108,8.3,0.0,0
1109,10.5,0.0,0
1110,11.9,0.0,0
1111,11.6,16.7,0
1112,11.7,0.0,0
1113,14.3,0.0,0
1114,13.8,0.0,0
1115,12.8,0.0,0
1116,14.4,0.2,0
1117,13.9,0.1,0
1118,8.1,0.0,0
1119,10.3,8.0,0
1120,8.7,0.0,0
1121,10.2,0.0,0
1122,12.9,6.1,0
1123,13.3,6.5,0
1124,6.4,0.0,0
1125,1.7,0.0,0
1126,5.1,15,1
1127,6.1,15,1
